采样日期,点位名称,采样经度,采样纬度,pH值,溶解氧,电导率,浑浊度,氨氮,耗氧量
2021/06/21 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.1,6.85,452.0,12.0,0.06,2.87
2021/06/21 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.1,6.79,454.0,12.0,0.06,2.81
2021/06/21 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.1,6.74,455.0,12.0,0.06,2.76
2021/06/21 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.1,6.69,457.0,12.0,0.06,2.71
2021/06/22 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.1,6.65,458.0,12.0,0.06,2.66
2021/06/22 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.1,6.6,460.0,12.0,0.07,2.62
2021/06/22 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.1,6.56,461.0,12.0,0.07,2.58
2021/06/22 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.1,6.53,462.0,12.0,0.07,2.54
2021/06/23 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.49,463.0,12.0,0.07,2.51
2021/06/23 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.46,464.0,12.0,0.07,2.48
2021/06/23 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.43,464.0,12.0,0.07,2.46
2021/06/23 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.4,465.0,12.0,0.07,2.43
2021/06/24 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.38,465.0,13.0,0.07,2.42
2021/06/24 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.36,466.0,13.0,0.07,2.4
2021/06/24 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.34,466.0,13.0,0.07,2.39
2021/06/24 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.32,467.0,13.0,0.07,2.38
2021/06/25 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.3,467.0,13.0,0.07,2.37
2021/06/25 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.29,467.0,14.0,0.07,2.36
2021/06/25 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.27,467.0,14.0,0.07,2.36
2021/06/25 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.26,467.0,14.0,0.07,2.36
2021/06/26 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.25,467.0,14.0,0.07,2.36
2021/06/26 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.24,467.0,15.0,0.07,2.36
