采样日期,点位名称,采样经度,采样纬度,pH值,溶解氧,电导率,浑浊度,氨氮,耗氧量
2021/6/21,白洋湾金墅水源地1,120.3813,31.3749,8.1,6.85,452,12,0.06,2.87
2021/6/21,白洋湾金墅水源地2,120.3818,31.3767,8.2,6.98,440,12,0.09,3.12
2021/6/21,白洋湾金墅水源地3,120.3838,31.3787,8.2,6.95,445,13,0.09,2.79
2021/6/21,白洋湾金墅水源地4,120.3795,31.3777,8.2,6.99,443,12,0.07,2.79
2021/6/21,白洋湾金墅水源地5,120.3803,31.3792,8.2,7.1,448,11,0.08,2.79
2021/6/28,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.05,478,11,0.08,2.02
2021/6/28,白洋湾金墅水源地2,120.3818,31.3767,7.8,6.10,476,10,0.11,2.21
2021/6/28,白洋湾金墅水源地3,120.3838,31.3787,8.1,6.00,476,10,0.09,1.94
2021/6/28,白洋湾金墅水源地4,120.3795,31.3777,8.3,6.10,473,12,0.07,2.21
2021/6/28,白洋湾金墅水源地5,120.3803,31.3792,7.9,6.12,480,11,0.08,2.07
2021/7/5,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.42,448,23,0.05,2.83
2021/7/5,白洋湾金墅水源地2,120.3818,31.3767,8.2,6.32,464,21,0.05,3.06
2021/7/5,白洋湾金墅水源地3,120.3838,31.3787,8.1,6.25,461,22,0.07,2.91
2021/7/5,白洋湾金墅水源地4,120.3795,31.3777,8.1,6.38,441,21,0.05,2.80
2021/7/5,白洋湾金墅水源地5,120.3803,31.3792,8.4,6.36,464,20,0.05,3.45
2021/7/12,白洋湾金墅水源地1,120.3813,31.3749,8.2,5.89,465,28,0.05,3.09
2021/7/12,白洋湾金墅水源地2,120.3818,31.3767,8.3,5.98,466,30,0.06,3.25
2021/7/12,白洋湾金墅水源地3,120.3838,31.3787,8.4,5.96,464,29,0.05,3.22
2021/7/12,白洋湾金墅水源地4,120.3795,31.3777,8.3,6.01,461,30,0.06,3.29
2021/7/12,白洋湾金墅水源地5,120.3803,31.3792,8.3,6.08,456,28,0.06,3.22
2021/7/19,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.63,452,26,0.06,3.24
2021/7/19,白洋湾金墅水源地2,120.3818,31.3767,8.7,6.45,446,28,0.06,3.47
2021/7/19,白洋湾金墅水源地3,120.3838,31.3787,8.8,6.57,451,30,0.07,3.47
2021/7/19,白洋湾金墅水源地4,120.3795,31.3777,8.8,6.52,445,27,0.08,3.47
2021/7/19,白洋湾金墅水源地5,120.3803,31.3792,8.6,6.58,455,25,0.08,3.34
2021/8/2,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.79,436,29,0.08,3.31
2021/8/2,白洋湾金墅水源地2,120.3818,31.3767,8.5,6.78,433,27,0.07,2.87
2021/8/2,白洋湾金墅水源地3,120.3838,31.3787,8.4,6.82,438,28,0.06,3.27
2021/8/2,白洋湾金墅水源地4,120.3795,31.3777,8.6,6.93,433,26,0.08,3.18
2021/8/2,白洋湾金墅水源地5,120.3803,31.3792,8.3,7.01,437,27,0.06,3.18
2021/8/9,白洋湾金墅水源地1,120.3813,31.3749,8.4,5.98,439,25,0.07,3.31
2021/8/9,白洋湾金墅水源地2,120.3818,31.3767,8.3,6.01,439,26,0.06,3.28
2021/8/9,白洋湾金墅水源地3,120.3838,31.3787,8.4,5.96,438,27,0.08,3.22
2021/8/9,白洋湾金墅水源地4,120.3795,31.3777,8.4,6.01,435,26,0.08,3.18
2021/8/9,白洋湾金墅水源地5,120.3803,31.3792,8.4,6.23,437,27,0.08,3.25
2021/8/16,白洋湾金墅水源地1,120.3813,31.3749,8.0,5.74,426,32,0.08,3.43
